local_authority,n_votes,cndidate_won,con,grn,ind,lab,ldem,other,ukip,local_authority_ons_code
Adur,16012.0,13.0,6688.0,852.0,726.0,5718.0,1152.0,0.0,876.0,E07000223
Amber Valley,24863.0,15.0,11723.0,1440.0,71.0,10417.0,1182.0,30.0,0.0,E07000032
Barking and Dagenham,108330.0,51.0,24206.0,317.0,372.0,83031.0,0.0,404.0,0.0,E09000002
Barnet,311505.0,63.0,146198.0,10107.0,471.0,126508.0,27472.0,627.0,122.0,E09000003
Barnsley,45091.0,21.0,8794.0,1695.0,857.0,26151.0,4380.0,3214.0,0.0,E08000016
Basildon,38294.0,15.0,19600.0,0.0,3891.0,9217.0,0.0,2747.0,2839.0,E07000066
Basingstoke and Deane,32436.0,20.0,14938.0,246.0,1230.0,10153.0,5525.0,133.0,211.0,E07000084
Bexley,165216.0,45.0,91547.0,1159.0,809.0,60764.0,4529.0,1295.0,5113.0,E09000004
Birmingham,364326.0,101.0,103985.0,11582.0,4119.0,191734.0,50861.0,1934.0,111.0,E08000025
Blackburn with Darwen,98752.0,51.0,33962.0,719.0,960.0,59048.0,3223.0,0.0,840.0,E06000008
Bolton,76552.0,21.0,26085.0,2054.0,1601.0,29476.0,10613.0,4460.0,2263.0,E08000001
Bradford,125715.0,30.0,34547.0,7859.0,2776.0,65207.0,12159.0,1097.0,2070.0,E08000032
Brent,226541.0,63.0,51982.0,6777.0,795.0,139086.0,26260.0,1233.0,408.0,E09000005
Brentwood,17805.0,13.0,8111.0,190.0,864.0,2491.0,6149.0,0.0,0.0,E07000068
Bromley,260868.0,60.0,131132.0,11642.0,3162.0,69072.0,40188.0,642.0,5030.0,E09000006
Broxbourne,19702.0,10.0,11726.0,143.0,0.0,5611.0,1749.0,22.0,451.0,E07000095
Burnley,21155.0,15.0,3944.0,1715.0,171.0,9156.0,3237.0,1814.0,1118.0,E07000117
Bury,52997.0,17.0,19993.0,1737.0,449.0,25506.0,5143.0,169.0,0.0,E08000002
Calderdale,60630.0,17.0,21183.0,2570.0,4631.0,25453.0,6521.0,272.0,0.0,E08000033
Cambridge,36828.0,15.0,4681.0,3206.0,0.0,17086.0,11736.0,26.0,93.0,E07000008
Camden,162456.0,54.0,35177.0,16512.0,1096.0,81438.0,27902.0,62.0,269.0,E09000007
Cannock Chase,18732.0,13.0,8235.0,1569.0,391.0,7112.0,817.0,0.0,608.0,E07000192
Carlisle,24176.0,17.0,10648.0,1076.0,1353.0,9603.0,1147.0,0.0,349.0,E07000028
Castle Point,20393.0,14.0,10414.0,0.0,259.0,4075.0,246.0,4518.0,881.0,E07000069
Cheltenham,35813.0,21.0,13263.0,1450.0,268.0,2656.0,16338.0,1838.0,0.0,E07000078
Cherwell,39580.0,17.0,19586.0,3448.0,1673.0,10905.0,3968.0,0.0,0.0,E07000177
Cheshire West and Chester,1746.0,1.0,239.0,60.0,0.0,1447.0,0.0,0.0,0.0,E06000050
Chorley,29585.0,17.0,11098.0,0.0,1406.0,16071.0,821.0,52.0,137.0,E07000118
Colchester,43972.0,17.0,17780.0,3161.0,3130.0,11131.0,8770.0,0.0,0.0,E07000071
Coventry,63109.0,18.0,20784.0,4133.0,500.0,33332.0,2020.0,795.0,1545.0,E08000026
Craven,9197.0,9.0,4267.0,792.0,1691.0,2368.0,0.0,0.0,79.0,E07000163
Crawley,21422.0,12.0,10156.0,0.0,0.0,10091.0,864.0,311.0,0.0,E07000226
Croydon,253429.0,70.0,100879.0,18815.0,590.0,117602.0,13894.0,581.0,1068.0,E09000008
Daventry,18679.0,13.0,10087.0,350.0,112.0,5437.0,2429.0,0.0,264.0,E07000151
Derby,68720.0,17.0,27447.0,907.0,2266.0,21264.0,10355.0,80.0,6401.0,E06000015
Dudley,72928.0,24.0,35071.0,1681.0,0.0,28613.0,1799.0,65.0,5699.0,E08000027
Ealing,289222.0,69.0,73674.0,11533.0,1062.0,162566.0,35238.0,4303.0,846.0,E09000009
Eastleigh,97282.0,39.0,26506.0,1375.0,6048.0,11674.0,49665.0,0.0,2014.0,E07000086
Elmbridge,36996.0,16.0,17054.0,590.0,304.0,3932.0,5947.0,8811.0,358.0,E07000207
Enfield,230402.0,63.0,80919.0,10400.0,1142.0,126230.0,9731.0,945.0,1035.0,E09000010
Epping Forest,25166.0,22.0,10373.0,1954.0,1010.0,2558.0,3897.0,5004.0,370.0,E07000072
Exeter,32429.0,13.0,10557.0,3423.0,0.0,15325.0,3005.0,119.0,0.0,E07000041
Fareham,36169.0,16.0,19629.0,311.0,1251.0,4660.0,10247.0,0.0,71.0,E07000087
Gateshead,51677.0,23.0,7647.0,2199.0,0.0,28004.0,12788.0,733.0,306.0,E08000020
Gosport,21608.0,18.0,11009.0,583.0,77.0,4727.0,5149.0,0.0,63.0,E07000088
Great Yarmouth,18049.0,14.0,8914.0,0.0,0.0,7188.0,0.0,956.0,991.0,E07000145
Greenwich,190782.0,51.0,45072.0,14491.0,1386.0,106919.0,16308.0,5991.0,615.0,E09000011
Hackney,167887.0,57.0,18565.0,28435.0,171.0,105689.0,14513.0,514.0,0.0,E09000012
Halton,23317.0,18.0,3954.0,0.0,1148.0,15544.0,1707.0,203.0,761.0,E06000006
Hammersmith and Fulham,142468.0,46.0,48192.0,660.0,89.0,77407.0,15937.0,0.0,183.0,E09000013
Haringey,197046.0,57.0,15335.0,20409.0,287.0,112980.0,47137.0,898.0,0.0,E09000014
Harlow,17897.0,11.0,8325.0,0.0,0.0,7767.0,395.0,426.0,984.0,E07000073
Harrogate,45183.0,40.0,24231.0,1569.0,1360.0,5741.0,11738.0,456.0,88.0,E07000165
Harrow,210503.0,63.0,94902.0,2922.0,807.0,98148.0,13399.0,325.0,0.0,E09000015
Hart,25889.0,11.0,11155.0,616.0,0.0,2002.0,6295.0,5546.0,275.0,E07000089
Hartlepool,16859.0,11.0,3737.0,380.0,3583.0,6372.0,0.0,2787.0,0.0,E06000001
Hastings,45917.0,32.0,14684.0,4545.0,0.0,22775.0,3718.0,127.0,68.0,E07000062
Havant,29974.0,15.0,18660.0,848.0,0.0,5381.0,4480.0,0.0,605.0,E07000090
Havering,202311.0,54.0,75088.0,3840.0,3588.0,41586.0,3128.0,68682.0,6399.0,E09000016
Hillingdon,214503.0,65.0,116359.0,10587.0,1101.0,82520.0,3330.0,606.0,0.0,E09000017
Hounslow,199229.0,60.0,57285.0,15599.0,1658.0,107713.0,16123.0,851.0,0.0,E09000018
Huntingdonshire,85211.0,52.0,40785.0,100.0,4369.0,14356.0,14469.0,6874.0,4258.0,E07000011
Hyndburn,14084.0,11.0,5225.0,140.0,1231.0,7488.0,0.0,0.0,0.0,E07000120
Ipswich,31264.0,16.0,11514.0,1036.0,19.0,15144.0,3150.0,0.0,401.0,E07000202
Islington,168935.0,48.0,16414.0,27728.0,0.0,102352.0,20785.0,1412.0,244.0,E09000019
Kensington and Chelsea,101188.0,50.0,52211.0,446.0,58.0,33271.0,12500.0,2384.0,318.0,E09000020
Kingston upon Hull,120230.0,57.0,14061.0,1731.0,1044.0,58433.0,43822.0,265.0,874.0,E06000010
Kingston upon Thames,160918.0,48.0,49226.0,5235.0,109.0,19079.0,83172.0,3830.0,267.0,E09000021
Kirklees,113473.0,24.0,35847.0,8441.0,2432.0,49733.0,14116.0,2493.0,411.0,E08000034
Knowsley,28705.0,15.0,1546.0,3553.0,2151.0,19007.0,1958.0,156.0,334.0,E08000011
Lambeth,228122.0,63.0,29373.0,43221.0,749.0,124160.0,27313.0,2541.0,765.0,E09000022
Leeds,540447.0,99.0,152536.0,33538.0,3651.0,250241.0,52896.0,45127.0,2458.0,E08000035
Lewisham,199625.0,54.0,27752.0,23142.0,348.0,120263.0,23935.0,3842.0,343.0,E09000023
Lincoln,18682.0,11.0,6873.0,1044.0,154.0,8944.0,1420.0,0.0,247.0,E07000138
Liverpool,97079.0,31.0,5558.0,8955.0,253.0,62172.0,15855.0,4286.0,0.0,E08000012
Maidstone,32547.0,18.0,14456.0,1295.0,1509.0,5798.0,9489.0,0.0,0.0,E07000110
Manchester,270014.0,96.0,25158.0,17402.0,1729.0,189431.0,34573.0,985.0,736.0,E08000003
Merton,178695.0,60.0,56223.0,4970.0,836.0,83890.0,26158.0,6159.0,459.0,E09000024
Milton Keynes,67183.0,20.0,25925.0,3284.0,69.0,24625.0,12886.0,0.0,394.0,E06000042
Mole Valley,24420.0,14.0,9038.0,1094.0,243.0,1598.0,9164.0,2969.0,314.0,E07000210
Newcastle upon Tyne,194717.0,78.0,26185.0,8716.0,11254.0,94155.0,47174.0,5356.0,1877.0,E08000021
Newcastle-under-Lyme,64162.0,44.0,27411.0,917.0,5859.0,25468.0,3516.0,0.0,991.0,E07000195
Newham,195053.0,60.0,29955.0,5275.0,958.0,145068.0,7023.0,6262.0,512.0,E09000025
North East Lincolnshire,36362.0,16.0,18012.0,973.0,1153.0,11775.0,2267.0,285.0,1897.0,E06000012
North Hertfordshire,33109.0,19.0,13137.0,2293.0,332.0,10595.0,6643.0,0.0,109.0,E07000099
North Tyneside,54568.0,20.0,17330.0,1390.0,615.0,30971.0,3223.0,175.0,864.0,E08000022
Norwich,34731.0,13.0,6841.0,6735.0,116.0,17094.0,3945.0,0.0,0.0,E07000148
Nuneaton and Bedworth,31652.0,17.0,16153.0,2854.0,155.0,11356.0,0.0,881.0,253.0,E07000219
Oldham,53604.0,22.0,11761.0,1754.0,1788.0,29876.0,8208.0,217.0,0.0,E08000004
Oxford,38219.0,24.0,4938.0,5535.0,577.0,18277.0,8892.0,0.0,0.0,E07000178
Pendle,24645.0,16.0,10319.0,209.0,0.0,10394.0,3723.0,0.0,0.0,E07000122
Peterborough,41248.0,18.0,14630.0,3164.0,914.0,14089.0,4401.0,1980.0,2070.0,E06000031
Plymouth,64897.0,19.0,29005.0,1178.0,1016.0,28554.0,3418.0,367.0,1359.0,E06000026
Portsmouth,46423.0,14.0,17058.0,1739.0,265.0,14626.0,11739.0,0.0,996.0,E06000044
Preston,28233.0,20.0,9683.0,0.0,0.0,13720.0,4309.0,26.0,495.0,E07000123
Reading,44690.0,18.0,13358.0,4904.0,61.0,21579.0,4638.0,150.0,0.0,E06000038
Redbridge,218363.0,63.0,77055.0,3455.0,1636.0,127484.0,8110.0,623.0,0.0,E09000026
Redditch,16777.0,10.0,7379.0,873.0,0.0,6665.0,536.0,0.0,1324.0,E07000236
Reigate and Banstead,35044.0,18.0,17613.0,3408.0,0.0,6254.0,4210.0,2326.0,1233.0,E07000211
Richmond upon Thames,208821.0,54.0,78431.0,9392.0,547.0,21732.0,97498.0,769.0,452.0,E09000027
Rochdale,50390.0,20.0,13590.0,656.0,1351.0,26250.0,6554.0,0.0,1989.0,E08000005
Rochford,22632.0,14.0,11046.0,1293.0,120.0,2986.0,2573.0,4614.0,0.0,E07000075
Rossendale,16771.0,12.0,8028.0,0.0,225.0,8002.0,0.0,516.0,0.0,E07000125
Rugby,25773.0,14.0,12096.0,1178.0,0.0,8397.0,3947.0,155.0,0.0,E07000220
Runnymede,21081.0,16.0,10266.0,512.0,1783.0,4656.0,1328.0,1954.0,582.0,E07000212
Rushmoor,21730.0,14.0,10276.0,306.0,0.0,7668.0,2817.0,57.0,606.0,E07000092
Salford,45604.0,20.0,12655.0,2480.0,1721.0,24302.0,2490.0,362.0,1594.0,E08000006
Sandwell,64712.0,26.0,16195.0,2970.0,511.0,43922.0,276.0,723.0,115.0,E08000028
Sefton,69111.0,23.0,15463.0,2204.0,1875.0,35900.0,10815.0,2054.0,800.0,E08000014
Sheffield,128065.0,28.0,17181.0,22552.0,1095.0,51583.0,31359.0,1648.0,2647.0,E08000019
Slough,29514.0,14.0,8662.0,126.0,255.0,19490.0,865.0,0.0,116.0,E06000039
Solihull,50377.0,17.0,24717.0,10769.0,0.0,8219.0,6297.0,0.0,375.0,E08000029
South Cambridgeshire,98036.0,45.0,33284.0,4583.0,5382.0,17100.0,37641.0,0.0,46.0,E07000012
South Lakeland,106922.0,51.0,43777.0,8181.0,286.0,10818.0,43860.0,0.0,0.0,E07000031
South Tyneside,37925.0,18.0,8697.0,5114.0,1485.0,21742.0,887.0,0.0,0.0,E08000023
Southampton,55179.0,16.0,20733.0,2954.0,2044.0,23524.0,4086.0,1515.0,323.0,E06000045
Southend-on-Sea,42557.0,17.0,15658.0,1184.0,8079.0,11412.0,5357.0,477.0,390.0,E06000033
Southwark,194283.0,63.0,20095.0,20473.0,612.0,107419.0,43762.0,1353.0,569.0,E09000028
St Albans,44521.0,20.0,17028.0,3008.0,231.0,8592.0,15528.0,0.0,134.0,E07000100
St Edmundsbury,2562.0,2.0,1329.0,0.0,0.0,934.0,299.0,0.0,0.0,E07000204
St Helens,38287.0,16.0,7623.0,3946.0,2164.0,19035.0,4128.0,110.0,1281.0,E08000013
